               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1182,           0.0087051,            0.011875,          9.0035e-05,            0.048757,          5.0094e-05,          1.2261e-05,             0.10487,           0.0086243,            0.010105,            0.066804,          3.3229e-05,          3.3229e-05
                   1,              0.1025,           0.0078359,           0.0088637,          0.00035271,             0.19694,          0.00049928,          0.00016191,            0.081333,            0.010386,            0.009524,            0.033503,          6.5961e-05,          6.5961e-05
                   2,            0.078649,           0.0095934,           0.0086045,          0.00067462,             0.36807,            0.005136,           0.0016771,            0.061887,            0.012467,           0.0093112,          0.00020226,          9.8091e-05,          9.8091e-05
                   3,            0.064491,            0.010974,           0.0082551,          0.00091684,             0.46176,             0.02227,           0.0089892,            0.051794,            0.013236,            0.009174,          9.7291e-05,          9.7291e-05,          9.7291e-05
                   4,            0.057398,            0.011265,            0.007986,            0.007201,             0.56212,            0.049506,            0.022288,            0.047146,            0.013064,           0.0089832,          9.7291e-05,          9.7291e-05,          9.7291e-05
                   5,              0.0537,             0.01119,           0.0078999,           0.0085798,             0.69755,            0.090187,             0.04583,            0.044188,            0.012498,           0.0088329,          9.6388e-05,          9.6388e-05,          9.6388e-05
                   6,             0.05082,            0.010535,           0.0080622,           0.0066674,             0.82742,             0.12604,            0.061223,            0.042675,            0.011536,           0.0085892,          9.5484e-05,          9.5484e-05,          9.5484e-05
                   7,            0.049598,           0.0096641,           0.0076074,             0.69256,             0.17113,             0.14684,             0.07718,             0.04168,            0.010457,           0.0083204,          9.4581e-05,          9.4581e-05,          9.4581e-05
                   8,             0.04812,           0.0090361,           0.0072624,             0.69262,             0.21508,             0.16804,            0.089919,            0.040785,           0.0096523,           0.0080014,          9.3678e-05,          9.3678e-05,          9.3678e-05
                   9,            0.047239,           0.0085222,           0.0073172,             0.70551,             0.22562,             0.19216,             0.10571,            0.040483,           0.0090799,           0.0074338,          9.2775e-05,          9.2775e-05,          9.2775e-05
                  10,            0.047025,           0.0080368,           0.0068307,             0.70989,             0.22658,             0.20732,             0.11264,            0.040195,           0.0087207,           0.0067907,          9.1872e-05,          9.1872e-05,          9.1872e-05
                  11,            0.045834,            0.007875,            0.006087,             0.71954,             0.23709,             0.23039,              0.1236,            0.040061,           0.0084042,           0.0059483,          9.0969e-05,          9.0969e-05,          9.0969e-05
                  12,            0.045369,           0.0075897,           0.0056449,             0.72579,             0.25048,             0.25427,             0.14036,            0.039377,           0.0081801,           0.0051286,          9.0066e-05,          9.0066e-05,          9.0066e-05
                  13,            0.045656,           0.0073481,           0.0052265,             0.23014,             0.26482,             0.26701,              0.1476,            0.039218,           0.0079632,           0.0043664,          8.9163e-05,          8.9163e-05,          8.9163e-05
                  14,            0.044883,           0.0073008,           0.0044547,             0.22343,             0.41249,             0.27835,             0.15308,            0.038595,           0.0078615,           0.0037289,          8.8259e-05,          8.8259e-05,          8.8259e-05
                  15,            0.044462,           0.0070799,           0.0039981,             0.23915,             0.41257,             0.28593,             0.15762,             0.03858,             0.00772,           0.0033263,          8.7356e-05,          8.7356e-05,          8.7356e-05
                  16,            0.044199,           0.0071334,           0.0038905,             0.24448,             0.42628,             0.28832,             0.16007,            0.038002,           0.0076307,           0.0031041,          8.6453e-05,          8.6453e-05,          8.6453e-05
                  17,            0.044394,           0.0071306,           0.0038191,             0.28171,             0.44789,             0.30059,             0.16512,            0.037834,           0.0075157,           0.0028745,           8.555e-05,           8.555e-05,           8.555e-05
                  18,            0.043406,           0.0069672,           0.0033984,             0.27905,             0.44199,             0.30462,             0.17202,            0.037511,           0.0074218,           0.0027727,          8.4647e-05,          8.4647e-05,          8.4647e-05
                  19,            0.043946,           0.0067441,           0.0033452,             0.29785,             0.47092,             0.31375,             0.17761,            0.037196,           0.0073471,           0.0025739,          8.3744e-05,          8.3744e-05,          8.3744e-05
                  20,            0.042703,           0.0066052,           0.0033211,             0.30193,             0.45761,             0.32123,             0.17909,            0.037084,           0.0073316,           0.0023982,          8.2841e-05,          8.2841e-05,          8.2841e-05
                  21,            0.042509,           0.0067616,           0.0030681,             0.31047,             0.46398,             0.33106,             0.19014,            0.036627,           0.0071661,           0.0023539,          8.1938e-05,          8.1938e-05,          8.1938e-05
                  22,            0.042636,           0.0067159,           0.0031645,             0.32752,             0.47133,             0.34146,             0.19261,            0.036486,           0.0071306,           0.0022819,          8.1034e-05,          8.1034e-05,          8.1034e-05
                  23,            0.042017,           0.0065749,           0.0027979,             0.32971,             0.48878,             0.35012,                 0.2,             0.03636,           0.0070489,           0.0022078,          8.0131e-05,          8.0131e-05,          8.0131e-05
                  24,            0.042475,           0.0064371,           0.0027562,             0.33189,             0.46264,             0.34023,             0.19709,             0.03632,           0.0070255,           0.0020906,          7.9228e-05,          7.9228e-05,          7.9228e-05
                  25,            0.041809,           0.0064837,           0.0027841,             0.33356,             0.49476,              0.3551,             0.20177,            0.036174,           0.0069248,           0.0020766,          7.8325e-05,          7.8325e-05,          7.8325e-05
                  26,            0.041391,           0.0063402,           0.0026371,             0.33693,             0.47212,             0.35181,             0.20228,            0.035852,           0.0069106,           0.0020619,          7.7422e-05,          7.7422e-05,          7.7422e-05
                  27,            0.041599,           0.0063883,           0.0025528,             0.34301,             0.47341,             0.35924,             0.20705,            0.035647,           0.0068433,           0.0019475,          7.6519e-05,          7.6519e-05,          7.6519e-05
                  28,            0.040962,           0.0062818,           0.0025845,             0.37276,             0.48425,             0.37146,             0.21181,            0.035502,           0.0068274,           0.0019896,          7.5616e-05,          7.5616e-05,          7.5616e-05
                  29,            0.041054,           0.0063945,           0.0025715,             0.38747,             0.47939,             0.38255,             0.22159,            0.035381,            0.006755,           0.0019019,          7.4713e-05,          7.4713e-05,          7.4713e-05
                  30,            0.040881,           0.0061192,           0.0027423,             0.36737,             0.47054,             0.37528,              0.2173,             0.03515,           0.0067783,           0.0018412,           7.381e-05,           7.381e-05,           7.381e-05
                  31,             0.04064,           0.0062435,           0.0026091,               0.368,             0.48608,             0.38268,             0.21965,            0.035269,           0.0066971,           0.0018031,          7.2906e-05,          7.2906e-05,          7.2906e-05
                  32,            0.040877,           0.0061514,           0.0023514,             0.37495,             0.48998,             0.38226,             0.22049,            0.035005,           0.0067036,           0.0017988,          7.2003e-05,          7.2003e-05,          7.2003e-05
                  33,            0.040896,           0.0061201,           0.0024738,              0.3538,               0.486,             0.37997,             0.22248,            0.034804,           0.0066768,           0.0017766,            7.11e-05,            7.11e-05,            7.11e-05
                  34,            0.040536,           0.0061283,           0.0024305,             0.38001,             0.48903,             0.39449,              0.2301,             0.03482,           0.0066331,           0.0017412,          7.0197e-05,          7.0197e-05,          7.0197e-05
                  35,            0.040213,           0.0061768,           0.0023604,              0.3637,             0.50561,             0.39489,              0.2331,             0.03439,           0.0065862,           0.0017204,          6.9294e-05,          6.9294e-05,          6.9294e-05
                  36,            0.040192,           0.0061203,           0.0024942,             0.36322,             0.48217,             0.38103,             0.22397,            0.034466,           0.0065532,           0.0017212,          6.8391e-05,          6.8391e-05,          6.8391e-05
                  37,             0.03982,            0.006167,           0.0023231,             0.37004,              0.4882,             0.38462,             0.22533,            0.034345,           0.0065383,           0.0016928,          6.7488e-05,          6.7488e-05,          6.7488e-05
                  38,            0.040167,           0.0059424,           0.0021886,             0.37406,              0.4765,             0.39576,             0.23047,            0.034375,             0.00651,           0.0016833,          6.6585e-05,          6.6585e-05,          6.6585e-05
                  39,            0.039444,           0.0060571,           0.0022373,               0.366,             0.48113,             0.39404,             0.23437,            0.034551,           0.0064494,           0.0016289,          6.5681e-05,          6.5681e-05,          6.5681e-05
                  40,            0.039505,           0.0060682,           0.0023634,             0.39397,             0.48601,             0.40294,              0.2372,            0.034222,           0.0064147,           0.0016393,          6.4778e-05,          6.4778e-05,          6.4778e-05
                  41,            0.039152,           0.0060064,           0.0024543,             0.38865,             0.50744,             0.40618,             0.23859,            0.034132,           0.0064209,           0.0016197,          6.3875e-05,          6.3875e-05,          6.3875e-05
                  42,            0.039452,           0.0059784,           0.0020266,             0.37643,             0.53167,             0.40701,             0.23823,            0.034116,           0.0063875,           0.0015973,          6.2972e-05,          6.2972e-05,          6.2972e-05
                  43,             0.03957,           0.0059916,           0.0021636,             0.38584,             0.49389,             0.40696,             0.23854,            0.034064,           0.0063617,           0.0016094,          6.2069e-05,          6.2069e-05,          6.2069e-05
                  44,            0.039284,           0.0060471,           0.0021546,             0.39376,              0.5202,             0.41304,             0.23956,             0.03405,           0.0063414,           0.0016167,          6.1166e-05,          6.1166e-05,          6.1166e-05
